               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  46,            0.033736,            0.014685,           0.0096641,              0.8971,             0.88375,             0.90638,             0.58012,            0.033535,           0.0094388,            0.012063,           0.0092575,           0.0092575,           0.0092575
                  47,            0.033806,             0.01414,           0.0094398,             0.85035,             0.91682,             0.89921,             0.57052,            0.033883,           0.0096083,            0.013855,            0.009241,            0.009241,            0.009241
                  48,             0.03364,            0.013996,           0.0098283,               0.899,             0.90333,             0.90857,             0.56835,            0.034516,           0.0094786,            0.010271,           0.0092245,           0.0092245,           0.0092245
                  49,            0.033611,            0.014553,           0.0099247,             0.90162,             0.90149,             0.91003,             0.58446,            0.033197,             0.00962,            0.010949,            0.009208,            0.009208,            0.009208
                  50,            0.032675,             0.01418,           0.0096571,             0.89756,             0.89933,             0.90484,             0.58312,            0.033862,           0.0094887,            0.011393,           0.0091915,           0.0091915,           0.0091915
                  51,            0.033121,            0.014478,           0.0095043,             0.89896,             0.89342,             0.91386,             0.57196,            0.033361,           0.0095444,            0.011069,            0.009175,            0.009175,            0.009175
                  52,            0.033405,            0.014394,           0.0092793,             0.89102,             0.90063,             0.91148,             0.59233,            0.033071,           0.0094086,            0.011103,           0.0091585,           0.0091585,           0.0091585
                  53,            0.033271,            0.014378,           0.0095211,             0.89691,             0.86684,             0.89405,             0.56853,            0.033463,           0.0097777,            0.012297,            0.009142,            0.009142,            0.009142
                  54,            0.033001,            0.014426,           0.0093583,             0.91588,             0.88988,             0.90962,             0.59578,            0.032296,           0.0093301,            0.010603,           0.0091255,           0.0091255,           0.0091255
                  55,            0.032739,             0.01422,            0.009446,             0.89245,             0.90641,             0.90951,             0.58992,            0.033138,           0.0095301,            0.010791,            0.009109,            0.009109,            0.009109
                  56,            0.032769,            0.014295,           0.0093302,             0.89031,             0.89148,             0.89199,             0.56633,            0.033137,           0.0095256,            0.012331,           0.0090925,           0.0090925,           0.0090925
                  57,            0.033349,            0.014381,           0.0093896,             0.91212,             0.87402,             0.91076,             0.58807,            0.033189,           0.0095317,            0.011695,            0.009076,            0.009076,            0.009076
                  58,            0.032889,            0.014224,           0.0091787,             0.86804,             0.88588,             0.89112,             0.58723,            0.032599,           0.0094948,            0.014246,           0.0090595,           0.0090595,           0.0090595
                  59,            0.033017,            0.014338,           0.0093112,             0.87672,             0.89517,             0.90582,             0.58231,            0.033091,            0.009414,            0.012119,            0.009043,            0.009043,            0.009043
                  60,            0.032392,            0.014322,           0.0093696,             0.91329,             0.88761,             0.91869,             0.59153,            0.032939,           0.0093123,            0.010632,           0.0090265,           0.0090265,           0.0090265
                  61,             0.03276,            0.014836,           0.0094759,             0.87984,             0.89781,             0.91194,             0.57171,            0.034509,           0.0096502,            0.011857,             0.00901,             0.00901,             0.00901
                  62,            0.032073,            0.014222,            0.008962,             0.86697,             0.90853,             0.90017,              0.5934,            0.032354,           0.0094722,             0.01094,           0.0089935,           0.0089935,           0.0089935
                  63,            0.032562,            0.014259,           0.0095916,             0.88323,             0.91588,             0.91215,             0.57092,            0.033333,           0.0094646,            0.010395,            0.008977,            0.008977,            0.008977
                  64,            0.032729,            0.014208,           0.0090593,             0.90436,             0.87874,             0.90601,             0.58489,            0.032523,           0.0094461,            0.010997,           0.0089605,           0.0089605,           0.0089605
                  65,            0.032377,            0.014112,            0.008542,             0.88987,              0.8868,             0.89871,             0.57558,            0.033879,           0.0096846,            0.011128,            0.008944,            0.008944,            0.008944
                  66,             0.03238,             0.01419,           0.0086102,             0.88968,             0.89774,             0.90871,             0.59939,            0.032944,           0.0096207,            0.010749,           0.0089275,           0.0089275,           0.0089275
                  67,            0.032027,            0.013903,           0.0090434,             0.92045,             0.89665,             0.91211,             0.59174,            0.033476,           0.0095784,            0.010713,            0.008911,            0.008911,            0.008911
                  68,            0.032246,            0.014122,           0.0088887,             0.91488,             0.89764,             0.91652,             0.60576,            0.032066,           0.0094706,            0.010265,           0.0088945,           0.0088945,           0.0088945
                  69,            0.032321,             0.01374,           0.0092561,             0.92116,             0.89529,             0.91826,             0.59256,            0.032441,           0.0095479,           0.0094223,            0.008878,            0.008878,            0.008878
                  70,            0.032147,            0.014275,           0.0088603,             0.92151,             0.88392,             0.91307,             0.60202,            0.032232,            0.009339,            0.010576,           0.0088615,           0.0088615,           0.0088615
                  71,            0.032084,            0.013837,           0.0087966,             0.88517,             0.91714,             0.91998,             0.58303,            0.034346,           0.0095628,           0.0097312,            0.008845,            0.008845,            0.008845
                  72,            0.032248,            0.014051,            0.009165,             0.91438,             0.89532,             0.90829,             0.61187,            0.031934,            0.009415,            0.010362,           0.0088285,           0.0088285,           0.0088285
                  73,            0.031771,            0.014211,           0.0087871,             0.90022,             0.87548,             0.90873,             0.59177,            0.033226,           0.0096385,            0.010924,            0.008812,            0.008812,            0.008812
                  74,              0.0317,            0.014011,           0.0088396,             0.88776,             0.91419,             0.92263,             0.61939,            0.031653,           0.0094322,            0.011567,           0.0087955,           0.0087955,           0.0087955
                  75,            0.031665,            0.014032,           0.0086426,             0.89731,             0.91656,             0.92482,             0.59515,            0.032585,           0.0094398,            0.010165,            0.008779,            0.008779,            0.008779
                  76,             0.03172,            0.014013,           0.0083852,             0.89815,             0.90146,             0.92243,             0.59399,            0.032571,           0.0094709,            0.010978,           0.0087625,           0.0087625,           0.0087625
                  77,            0.032075,            0.013769,           0.0084215,             0.91172,             0.90195,             0.91524,             0.61013,            0.031816,           0.0092192,            0.010274,            0.008746,            0.008746,            0.008746
                  78,            0.031316,            0.013835,           0.0087786,              0.9136,             0.89739,             0.91162,             0.60078,            0.031739,           0.0094385,           0.0099559,           0.0087295,           0.0087295,           0.0087295
                  79,            0.031698,            0.013997,           0.0085764,              0.9095,             0.89179,             0.91488,             0.60183,            0.032228,           0.0093021,            0.010787,            0.008713,            0.008713,            0.008713
                  80,             0.03135,            0.013852,           0.0086492,             0.91015,             0.88794,             0.91229,             0.61497,            0.031321,           0.0092627,            0.010644,           0.0086965,           0.0086965,           0.0086965
                  81,            0.031527,            0.013766,           0.0085075,             0.92156,             0.88734,             0.92353,             0.61179,             0.03204,           0.0094735,            0.010511,             0.00868,             0.00868,             0.00868
                  82,            0.032218,            0.013896,           0.0084627,             0.89355,             0.91225,             0.91074,              0.5985,            0.032429,           0.0093218,            0.010379,           0.0086635,           0.0086635,           0.0086635
                  83,            0.031088,            0.013647,           0.0088507,             0.90822,             0.88636,             0.90407,             0.60915,            0.032274,           0.0092665,            0.010752,            0.008647,            0.008647,            0.008647
                  84,            0.031429,            0.013628,           0.0082406,             0.92082,             0.87328,             0.90217,             0.60796,            0.031325,           0.0093851,            0.010753,           0.0086305,           0.0086305,           0.0086305
                  85,            0.031357,            0.013826,           0.0084417,              0.9099,             0.88123,             0.90613,             0.60942,            0.031523,           0.0094646,            0.011772,            0.008614,            0.008614,            0.008614
                  86,            0.031554,            0.014265,           0.0085591,             0.89897,              0.8813,             0.90613,             0.60565,            0.031301,           0.0094585,            0.010779,           0.0085975,           0.0085975,           0.0085975
                  87,            0.031519,            0.013766,           0.0084019,             0.87648,             0.89775,             0.91504,             0.61032,            0.031316,           0.0092519,            0.010918,            0.008581,            0.008581,            0.008581
                  88,            0.031286,            0.013788,           0.0082993,             0.90326,             0.90196,             0.91762,             0.59676,            0.032672,           0.0094159,            0.010239,           0.0085645,           0.0085645,           0.0085645
                  89,            0.031659,            0.013953,            0.008445,             0.89384,              0.9009,             0.92422,              0.6123,            0.031836,           0.0092417,           0.0095972,            0.008548,            0.008548,            0.008548
